id,user_id,type,title,message,metadata,read_at,created_at,order_id,subscription_id,dedupe_key,cleared_at
19647c68-3c87-46c7-8763-7eb59259c33b,421f2f2f-7181-4aa5-b802-87bf324848b0,order_delivered,Order delivered,Your order f79c4d7c has been delivered.,"{""link"": ""/dashboard/orders"", ""status"": ""delivered"", ""order_id"": ""f79c4d7c-a188-4d3d-91e4-b62c6772d830""}",2026-01-31 22:07:29.641258,2026-01-31 18:11:19.146793,f79c4d7c-a188-4d3d-91e4-b62c6772d830,,order:f79c4d7c-a188-4d3d-91e4-b62c6772d830:delivered,
4a37d4cd-9a89-46ed-ac12-d39dc8b07529,421f2f2f-7181-4aa5-b802-87bf324848b0,subscription_activated,Subscription activated,Your Google AI Pro | Veo 3 (12 months) subscription is now active - d2aacda0.,"{""link"": ""/dashboard/subscriptions"", ""status"": ""active"", ""subscription_id"": ""d2aacda0-6cd4-484d-83bc-0b5a54767aad""}",2026-01-31 22:07:29.641258,2026-01-31 18:11:20.430103,f79c4d7c-a188-4d3d-91e4-b62c6772d830,d2aacda0-6cd4-484d-83bc-0b5a54767aad,subscription_activated:d2aacda0-6cd4-484d-83bc-0b5a54767aad:2026-01-31T18:11:20.397Z,
