id,user_id,action,entity_type,entity_id,before,after,metadata,ip_address,user_agent,request_id,created_at
72327b7c-9fa8-4015-85c1-25cfcd5de593,9bb2e6c4-2d0d-4b83-804e-1af8d4aeb324,orders.status.update,order,f79c4d7c-a188-4d3d-91e4-b62c6772d830,"{""status"": ""in_process"", ""status_reason"": ""payment_succeeded""}","{""status"": ""paid"", ""status_reason"": ""payment_verified""}","{""reason"": ""payment_verified""}",104.23.223.32,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",req-9l,2026-01-31 18:09:55.709119
03e39ad9-787d-4f09-ae80-3628c4efc7eb,9bb2e6c4-2d0d-4b83-804e-1af8d4aeb324,subscriptions.credentials.update,subscription,d2aacda0-6cd4-484d-83bc-0b5a54767aad,"{""id"": ""d2aacda0-6cd4-484d-83bc-0b5a54767aad"", ""status"": ""pending"", ""user_id"": ""421f2f2f-7181-4aa5-b802-87bf324848b0"", ""currency"": ""usd"", ""end_date"": ""2027-01-31T11:40:55.510Z"", ""metadata"": {""auto_renew"": false}, ""order_id"": ""f79c4d7c-a188-4d3d-91e4-b62c6772d830"", ""auto_renew"": false, ""created_at"": ""2026-01-31T11:40:55.517Z"", ""start_date"": ""2026-01-31T11:40:55.510Z"", ""price_cents"": 6996, ""term_months"": 12, ""product_name"": ""Google"", ""renewal_date"": ""2027-01-24T11:40:55.510Z"", ""service_plan"": ""google-aipro-veo"", ""service_type"": ""google"", ""variant_name"": ""AI Pro | Veo 3"", ""status_reason"": ""selection_submitted"", ""term_start_at"": null, ""renewal_method"": ""stripe"", ""next_billing_at"": null, ""base_price_cents"": 583, ""discount_percent"": 0, ""product_variant_id"": ""2120cfb0-3512-434f-aae8-50e28f792861"", ""referral_reward_id"": null, ""cancellation_reason"": null, ""pre_launch_reward_id"": null, ""auto_renew_enabled_at"": null, ""auto_renew_disabled_at"": null, ""billing_payment_method_id"": null, ""cancellation_requested_at"": null}","{""id"": ""d2aacda0-6cd4-484d-83bc-0b5a54767aad"", ""status"": ""pending"", ""user_id"": ""421f2f2f-7181-4aa5-b802-87bf324848b0"", ""currency"": ""usd"", ""end_date"": ""2027-01-31T11:40:55.510Z"", ""metadata"": {""auto_renew"": false}, ""order_id"": ""f79c4d7c-a188-4d3d-91e4-b62c6772d830"", ""auto_renew"": false, ""created_at"": ""2026-01-31T11:40:55.517Z"", ""start_date"": ""2026-01-31T11:40:55.510Z"", ""price_cents"": 6996, ""term_months"": 12, ""product_name"": null, ""renewal_date"": ""2027-01-24T11:40:55.510Z"", ""service_plan"": ""google-aipro-veo"", ""service_type"": ""google"", ""variant_name"": null, ""status_reason"": ""selection_submitted"", ""term_start_at"": null, ""renewal_method"": ""stripe"", ""next_billing_at"": null, ""base_price_cents"": 583, ""discount_percent"": 0, ""product_variant_id"": ""2120cfb0-3512-434f-aae8-50e28f792861"", ""referral_reward_id"": null, ""cancellation_reason"": null, ""pre_launch_reward_id"": null, ""auto_renew_enabled_at"": null, ""auto_renew_disabled_at"": null, ""billing_payment_method_id"": null, ""cancellation_requested_at"": null}","{""reason"": ""credential_provisioned"", ""credentialCleared"": false, ""credentialUpdated"": true}",104.23.223.32,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",req-9q,2026-01-31 18:11:14.756768
65437576-6d9a-4018-b6db-64624c482932,9bb2e6c4-2d0d-4b83-804e-1af8d4aeb324,orders.status.update,order,f79c4d7c-a188-4d3d-91e4-b62c6772d830,"{""status"": ""paid"", ""status_reason"": ""payment_verified""}","{""status"": ""delivered"", ""status_reason"": ""fulfilled""}","{""reason"": ""fulfilled""}",104.23.221.152,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",req-9v,2026-01-31 18:11:20.446971
68a102e3-f8e9-42fe-abfb-b41042abad99,421f2f2f-7181-4aa5-b802-87bf324848b0,pin_set,user,421f2f2f-7181-4aa5-b802-87bf324848b0,,"{""pin_set_at"": ""2026-01-31T21:48:29.910Z""}","{""source"": ""self_service""}",172.70.134.60,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Mobile Safari/537.36",req-zx,2026-01-31 21:48:29.929855
4a7e8a4a-b7d3-4776-b175-9c34179f0fb1,9bb2e6c4-2d0d-4b83-804e-1af8d4aeb324,subscriptions.credentials.view,subscription,d2aacda0-6cd4-484d-83bc-0b5a54767aad,,,"{""credentialPresent"": true}",104.23.223.33,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",req-au8,2026-03-10 12:34:03.569081
